Gregorian day,R2,MSE,MAE
122,0.2542768716812134,0.05614570528268814,0.20379915833473206
123,0.4388282299041748,0.04225078225135803,0.18345077335834503
124,0.532799482345581,0.03517565876245499,0.17478683590888977
125,0.5702325105667114,0.032357316464185715,0.16577556729316711
126,0.5781607627868652,0.03176039084792137,0.15703850984573364
127,0.6092193126678467,0.029421985149383545,0.14742664992809296
128,0.6444961428642273,0.026765983551740646,0.13798534870147705
129,0.6624784469604492,0.025412093847990036,0.13072915375232697
130,0.6601529717445374,0.0255871769040823,0.13100573420524597
131,0.6423220634460449,0.026929672807455063,0.13518255949020386
132,0.6155161261558533,0.028947899118065834,0.14138157665729523
133,0.5811304450035095,0.031536806374788284,0.14784011244773865
134,0.5553818345069885,0.033475425094366074,0.15327203273773193
135,0.5529404878616333,0.03365923464298248,0.15422818064689636
136,0.5685931444168091,0.032480742782354355,0.150614395737648
137,0.6007593274116516,0.03005894087255001,0.14430642127990723
138,0.63614422082901,0.02739480510354042,0.1384773552417755
139,0.6685327291488647,0.024956265464425087,0.13193818926811218
140,0.6870144605636597,0.023564767092466354,0.12930834293365479
141,0.7080735564231873,0.02197922393679619,0.12385927140712738
142,0.6940312385559082,0.023036476224660873,0.11653538048267365
143,0.6793903708457947,0.024138789623975754,0.1228172779083252
144,0.6762948036193848,0.024371851235628128,0.12623241543769836
145,0.7369268536567688,0.01980685070157051,0.11395885050296783
146,0.8048654794692993,0.014691732823848724,0.09438855946063995
147,0.8552083969116211,0.01090139802545309,0.07959804683923721
148,0.8771833181381226,0.009246899746358395,0.07733406871557236
149,0.8599258065223694,0.010546225123107433,0.0809265747666359
150,0.8513191938400269,0.011194217018783092,0.08261946588754654
151,0.8156002163887024,0.013883511535823345,0.09135483205318451
152,0.8382883071899414,0.012175316922366619,0.08685645461082458
153,0.8306118249893188,0.01275328267365694,0.09493057429790497
154,0.8288387656211853,0.0128867756575346,0.09931276738643646
155,0.8204203248023987,0.013520603999495506,0.10074210166931152
156,0.8101597428321838,0.01429312489926815,0.10275044292211533
157,0.7995970249176025,0.015088398940861225,0.10590235888957977
158,0.7919384241104126,0.01566501520574093,0.10722459852695465
159,0.7752745151519775,0.01691964641213417,0.10871336609125137
160,0.7600764632225037,0.01806390844285488,0.11181493103504181
161,0.7420222759246826,0.019423218443989754,0.11276455968618393
162,0.7200804948806763,0.021075215190649033,0.11207075417041779
163,0.6916995048522949,0.023212028667330742,0.11586463451385498
164,0.6211308240890503,0.02852516807615757,0.12683947384357452
165,0.32643353939056396,0.050713010132312775,0.17566272616386414
166,0.20838385820388794,0.05960100144147873,0.1874481737613678
167,0.15226173400878906,0.06382645666599274,0.18814384937286377
